Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CPLE5,"14,37","19,41","1,65","1,718","4,50%","0,691","10,77","9,85","-1,87","13,75","10,28","17,44%","8,80%","1,43","7,90%","8,50%","35.831.300,00","25.986.000.000,00","0,81","1,20%"
TFCO4,"17,86","19,61","5,16","2,746","1,49%","3,036","6,87","13,73","11,27","14,48","13,22","19,99%","13,97%","2,86","25,21%","26,31%","14.239.500,00","530.276.000,00","0,32","24,40%"
ALLL3,"3,97","19,75","0,53","0,529","0,00%","0,143","2,05","1,31","-0,26","4,20","2,53","40,47%","2,81%","1,66","12,49%","2,71%","0,00","13.805.500.000,00","1,58","17,10%"
FRAS3,"25,10","19,76","2,92","1,350","2,34%","1,021","3,73","9,12","-6,46","11,26","8,56","14,79%","6,95%","2,27","14,60%","14,78%","9.285.700,00","2.409.760.000,00","1,10","18,05%"
MATD3,"4,85","19,90","1,11","0,770","1,57%","0,368","1,57","4,85","-1,20","6,99","5,27","15,87%","3,95%","2,92","9,31%","5,56%","887.138,00","1.462.810.000,00","0,95","10,37%"
GGPS3,"19,34","19,90","3,36","0,772","1,67%","0,911","3,26","9,88","-4,55","11,45","8,64","7,82%","3,94%","2,13","11,87%","16,89%","51.230.700,00","3.896.680.000,00","1,25","25,81%"
AUTM3,"19,70","20,00","1,90","0,709","0,00%","0,547","4,08","6,78","-2,42","8,22","8,99","10,47%","4,31%","1,48","11,93%","9,50%","0,00","1.304.250.000,00","0,97","28,21%"
AEDU11,"37,35","20,13","1,13","1,405","0,00%","0,732","5,77","13,93","-7,31","16,14","10,82","10,08%","6,98%","2,04","5,77%","5,60%","0,00","2.415.400.000,00","0,30","20,90%"
JPSA3,"29,02","20,27","1,93","4,667","0,29%","0,468","2,34","12,96","-1,68","20,35","12,83","36,02%","46,31%","5,31","4,56%","9,51%","7.666.510,00","1.762.140.000,00","1,94","1,01%"
HYPE3,"26,44","20,33","1,37","2,402","4,42%","0,666","12,62","14,42","-2,53","20,69","16,33","16,65%","11,75%","1,27","5,11%","6,72%","59.952.300,00","12.254.200.000,00","0,75","6,10%"
MGLU3,"10,12","20,33","0,67","0,195","3,02%","0,201","1,87","4,07","-1,10","6,45","3,79","4,79%","0,96%","1,26","7,16%","3,30%","193.453.000,00","11.160.100.000,00","0,53","1,93%"
JSLG3,"6,71","20,42","1,05","0,199","6,27%","0,154","0,88","1,85","-0,32","8,15","4,71","10,71%","0,97%","1,88","9,88%","5,13%","4.168.360,00","1.836.170.000,00","4,48","88,20%"
LAME4,"6,55","20,99","1,89","0,476","0,00%","0,282","1,19","7,32","-4,32","11,24","5,46","6,51%","2,51%","1,72","6,53%","9,02%","0,00","6.514.640.000,00","2,54","9,72%"
ALPA4,"11,58","21,16","1,84","1,785","11,75%","1,268","4,33","13,91","6,62","13,24","9,02","12,83%","8,41%","2,40","11,84%","8,69%","21.812.800,00","4.301.190.000,00","0,15","1,88%"
LAME3,"6,62","21,22","1,91","0,481","0,00%","0,285","1,20","7,40","-4,37","11,32","5,49","6,51%","2,51%","1,72","6,53%","9,02%","0,00","6.514.640.000,00","2,54","9,72%"
PEAB3,"37,00","21,36","0,77","6,077","2,24%","0,547","3,94","-30,73","-4,87","-30,54","-130,48","-19,77%","28,45%","4,51","-2,04%","3,61%","4.612,86","907.574.000,00","0,17","44,66%"
PEAB4,"37,37","21,58","0,78","6,138","2,32%","0,552","3,98","-31,04","-4,92","-30,85","-131,79","-19,77%","28,45%","4,51","-2,04%","3,61%","5.761,98","907.574.000,00","0,17","44,66%"
HAGA3,"1,90","22,18","-0,45","0,809","0,00%","0,324","0,61","-7,65","-0,39","2,30","3,45","-10,57%","3,65%","2,46","-16,83%","-2,03%","5.072,21","-50.250.200,00","-0,41","-8,90%"
CRTP3,"86,50","22,26","2,38","2,435","0,00%","1,570","5,55","19,63","8,19","18,02","18,02","12,40%","10,94%","2,14","12,36%","10,68%","0,00","1.210.570.000,00","0,12","10,11%"
BRST3,"3,52","22,27","0,98","0,953","1,17%","0,373","-31,52","6,82","-0,83","14,07","4,45","13,97%","4,30%","0,93","6,12%","4,39%","614.974,00","1.576.320.000,00","1,25","0,00%"
RAPT3,"6,30","22,41","0,67","0,167","3,83%","0,119","0,40","1,75","-0,58","7,06","5,16","9,56%","2,54%","2,23","8,67%","2,99%","136.427,00","3.284.650.000,00","2,84","10,18%"
BSCT6,"2,58","22,49","2,04","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,05%","0,00","212.960.000,00","0,00","1,92%"
RSIP3,"0,44","22,70","1,32","0,875","0,00%","0,433","-10,98","9,53","-1,46","18,48","33,21","9,17%","3,85%","0,90","5,00%","5,80%","0,00","66.914.000,00","1,40","15,13%"
RSIP4,"0,44","22,70","1,32","0,875","0,00%","0,433","-10,98","9,53","-1,46","18,48","33,21","9,17%","3,85%","0,90","5,00%","5,80%","0,00","66.914.000,00","1,40","15,13%"
RAPT4,"6,39","22,73","0,68","0,169","3,77%","0,121","0,41","1,77","-0,59","7,09","5,18","9,56%","2,54%","2,23","8,67%","2,99%","21.049.000,00","3.284.650.000,00","2,84","10,18%"
ODER4,"100,00","23,17","1,95","1,743","0,61%","1,020","2,01","12,22","5,00","14,76","12,55","14,26%","7,52%","3,92","9,98%","8,41%","0,00","579.216.000,00","0,61","-0,42%"
TVIT3,"19,30","23,46","5,45","1,705","0,00%","2,424","175,42","16,02","-12,72","17,14","17,14","10,64%","7,27%","1,04","17,58%","23,24%","0,00","314.984.000,00","0,56","0,00%"
BPAC3,"30,07","23,57","5,27","0,000","1,17%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","22,38%","115.310,00","65.605.500.000,00","0,00","13,42%"
RDOR3,"46,05","23,74","4,00","1,945","1,77%","0,958","2,68","11,40","-4,55","11,37","9,48","17,06%","8,46%","3,11","14,21%","16,87%","230.211.000,00","26.332.300.000,00","1,63","32,96%"
TMGC3,"1.500,00","23,77","3,05","2,182","0,00%","2,101","12,70","33,47","22,43","32,14","32,14","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
POWE3,"10,90","23,92","0,99","0,618","0,00%","0,378","6,57","17,61","-3,01","10,63","10,01","3,51%","2,59%","1,13","3,54%","4,13%","0,00","988.330.000,00","0,04","0,00%"
TSEP4,"29,01","23,97","1,30","1,282","0,00%","0,906","3,80","14,82","4,43","12,29","12,29","8,65%","5,35%","1,88","9,10%","5,43%","0,00","2.047.020.000,00","0,00","4,50%"
VSTE3,"4,26","24,06","0,46","0,405","0,03%","0,289","3,28","6,55","-4,80","10,68","3,20","6,18%","1,68%","1,39","4,88%","1,92%","76.152,00","1.054.910.000,00","0,33","8,83%"
VIVT4,"45,34","24,16","2,14","2,498","0,00%","1,181","396,06","16,39","-4,70","17,66","6,62","15,24%","10,32%","1,02","8,30%","8,85%","0,00","68.438.100.000,00","0,26","7,69%"
MYPK4,"31,79","24,29","1,16","0,310","0,00%","0,338","1,74","4,86","-1,53","8,85","5,72","6,38%","2,01%","1,74","9,37%","4,79%","0,00","4.198.650.000,00","1,34","3,22%"
ELEK3,"19,11","24,46","2,66","0,619","0,34%","1,067","3,75","52,11","-110,34","65,77","26,15","1,19%","2,53%","1,94","2,52%","10,87%","0,00","226.327.000,00","0,99","5,69%"
MAGS3,"62,45","24,49","3,13","2,217","0,00%","2,120","4,90","15,02","6,65","14,19","14,19","14,76%","8,91%","3,06","18,74%","12,78%","0,00","848.546.000,00","0,13","10,05%"
TIMS3,"25,04","24,63","2,40","4,454","7,41%","1,057","-102,29","17,30","-3,35","16,25","6,47","25,75%","18,09%","0,96","7,52%","9,76%","151.316.000,00","25.213.200.000,00","0,11","-10,04%"
PNVL4,"18,62","24,82","2,21","0,529","0,00%","0,781","2,74","13,41","-16,16","18,25","8,72","3,95%","2,13%","1,91","8,14%","8,93%","0,00","1.264.170.000,00","1,11","13,71%"
RPAD6,"4,76","25,05","0,40","0,000","0,22%","0,396","3,18","-221,84","3,36","-150,37","-150,37","0,00%","0,00%","20,16","-0,20%","1,60%","0,00","1.005.490.000,00","0,00","0,00%"
JOPA3,"20,11","25,05","0,35","0,107","3,15%","0,095","0,23","2,57","1,45","8,08","6,97","4,17%","0,68%","2,31","5,69%","1,39%","514,44","610.043.000,00","1,96","1,22%"
CRUZ3,"27,59","25,31","22,46","6,614","0,00%","7,185","62,03","20,74","124,93","20,75","19,27","31,89%","26,13%","1,19","46,80%","88,76%","0,00","1.877.350.000,00","0,63","3,04%"
OPCT3,"7,63","25,71","1,58","0,748","0,00%","0,483","2,05","4,67","-1,52","8,25","4,23","15,99%","2,90%","2,67","13,67%","6,15%","3.718.490,00","964.633.000,00","1,88","32,54%"
RPAD3,"4,93","25,95","0,42","0,000","0,19%","0,410","3,29","-229,77","3,48","-158,29","-158,29","0,00%","0,00%","20,16","-0,20%","1,60%","34,35","1.005.490.000,00","0,00","0,00%"
TNLP4,"20,36","25,96","0,71","0,344","0,00%","0,125","1,29","3,40","-0,33","9,07","9,07","10,12%","-0,07%","1,48","4,58%","2,72%","0,00","13.736.000.000,00","2,02","15,39%"
HGTX4,"9,60","26,11","0,92","1,070","0,00%","0,635","1,92","27,10","2,54","28,00","11,15","3,95%","4,10%","2,47","3,00%","3,51%","0,00","1.704.940.000,00","0,12","-4,62%"
SMFT3,"25,81","26,18","2,69","2,256","2,45%","0,807","11,49","9,53","-1,69","11,59","5,72","23,67%","8,65%","1,46","10,37%","10,29%","125.012.000,00","5.722.890.000,00","1,10","44,06%"
AMBV4,"86,80","26,59","8,74","8,027","0,00%","5,253","144,02","20,54","-37,72","20,36","18,35","39,08%","30,76%","1,18","32,43%","32,88%","0,00","31.105.700.000,00","0,10","21,73%"
AMBV3,"87,00","26,65","8,76","8,045","0,00%","5,266","144,35","20,59","-37,80","20,41","18,39","39,08%","30,76%","1,18","32,43%","32,88%","0,00","31.105.700.000,00","0,10","21,73%"
DESK3,"16,83","26,67","1,39","1,633","0,22%","0,523","14,48","5,84","-1,18","9,22","5,26","27,95%","6,80%","1,26","10,15%","5,22%","15.834.100,00","1.402.260.000,00","1,06","22,97%"
RENT3,"44,70","27,29","1,93","1,191","4,21%","0,583","7,81","6,50","-1,28","10,91","6,09","18,34%","4,36%","1,45","11,51%","7,06%","303.611.000,00","25.136.800.000,00","1,75","41,56%"
RPSA4,"4,90","27,33","1,55","5,697","0,00%","0,805","5,09","107,53","-4,50","137,55","137,55","5,30%","20,85%","2,09","0,85%","5,69%","0,00","1.167.980.000,00","0,61","-14,23%"
ARML3,"4,29","27,43","1,17","0,799","4,97%","0,321","1,96","3,60","-0,77","8,13","5,03","22,22%","2,98%","2,21","11,52%","4,26%","4.847.220,00","1.271.350.000,00","1,97","30,95%"
SEBB11,"23,27","28,01","6,44","2,214","0,00%","5,279","24,65","23,96","28,94","23,73","23,73","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
WEGE3,"44,05","28,52","8,25","4,468","1,90%","4,456","15,77","20,67","21,26","20,28","18,33","21,62%","16,54%","1,78","28,49%","28,93%","414.359.000,00","22.408.800.000,00","0,17","16,17%"
MOAR3,"74,96","28,80","0,99","0,000","50,64%","0,414","0,94","-35,65","17,14","-18,77","-19,28","0,00%","0,00%","3,60","-2,74%","3,45%","175.377,00","924.791.000,00","0,91","0,00%"
JOPA4,"24,00","29,90","0,42","0,128","2,90%","0,113","0,28","3,07","1,73","8,58","7,40","4,17%","0,68%","2,31","5,69%","1,39%","0,00","610.043.000,00","1,96","1,22%"
ELCA4,"20,20","30,11","10,24","2,192","0,00%","1,300","18,15","11,20","-2,36","15,15","12,09","19,57%","9,83%","1,38","13,70%","34,03%","0,00","4.160.960.000,00","4,38","6,83%"
RADL3,"23,66","30,28","5,81","0,962","1,53%","1,706","10,47","16,55","-13,27","17,67","9,97","5,81%","3,22%","1,39","14,30%","19,19%","215.488.000,00","6.995.140.000,00","0,47","16,25%"
BSCT5,"3,50","30,51","2,76","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,05%","0,00","212.960.000,00","0,00","1,92%"
CASN3,"10,45","31,17","4,67","5,593","0,46%","2,015","92,16","17,85","-5,25","21,06","15,91","31,34%","17,94%","1,13","12,40%","14,98%","0,00","2.575.430.000,00","1,01","16,31%"
VAMO3,"3,84","31,19","1,58","1,226","7,14%","0,180","1,30","1,55","-0,30","5,99","4,43","79,20%","3,93%","1,93","15,20%","5,06%","54.167.900,00","2.630.600.000,00","6,28","12,10%"
TOTS3,"42,52","31,40","5,02","4,346","1,57%","2,764","14,12","11,47","-38,18","11,32","9,78","37,89%","14,27%","2,35","31,72%","15,99%","116.284.000,00","5.077.360.000,00","0,33","17,49%"
LOGN3,"36,00","31,73","3,62","1,287","0,00%","0,968","30,23","12,94","-2,11","17,70","9,06","9,95%","4,06%","1,13","8,39%","11,42%","958.160,00","1.065.780.000,00","1,59","21,43%"
